Country,Visa Name,Category,Main Requirements,Typical Duration,Official Link
Portugal,Residence permit for Researchers,Academic,Hosting agreement or research grant,1-4 years,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/researcher-portugal_en
Luxembourg,Residence permit for third-country researchers,Academic,Hosting institution or research contract,1-4 years,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/researcher-luxembourg_en
Spain,National Researcher Visa,Academic,Hosting institution or UGECE authorisation,1-3 years,https://exteriores.gob.es/Consulados/sanfrancisco/en/ServiciosConsulares/Paginas/Consular/Visado-para-investigadores.aspx
France,Passeport-Talent (Chercheur),Academic,Hosting agreement at university/research centre,1-4 years,https://access.ciup.fr/en/researchers-from-non-european-countries/
Germany,Researcher Residence Permit (§18d),Academic,Hosting agreement or research project,1-4 years,https://www.make-it-in-germany.com/en/working-in-germany/visa/work-visa-researcher
Netherlands,Orientation Year Permit (zoekjaar),Professional/Entrepreneur,Graduation from Dutch university or research experience,12 months,https://ind.nl/en/work/working-in-the-netherlands-after-study
Japan,Fukuoka Startup Visa,Entrepreneur,Business plan and municipal approval,6-12 months,https://www.fukuoka-startupvisa.jp/en/
Estonia,Startup Visa (non-EU founders),Entrepreneur,Innovative business plan and company registration,1 year,https://e-resident.gov.ee/start-a-company/startup-visa/
Lithuania,Startup Visa (Startup Lithuania),Entrepreneur,Innovative startup or company registration,1 year,https://www.startuplithuania.com/startup-visa/
Czech Republic,Freelance / Entrepreneur Visa (Živno),Professional/Entrepreneur,Trade license or business plan,1-2 years,https://www.mvcr.cz/mvcren/article/long-term-residence-for-business.aspx
Thailand,SMART Visa / LTR,Professional/Entrepreneur,Qualified profession, startup, or investment,1-4 years,https://www.thailongtermresident.com/
Chile,Start-Up Chile / Founder Visa,Entrepreneur,Accepted by accelerator program,1 year,https://www.startupchile.org/
South Korea,D-10 Job Seeker / Startup Visa,Professional/Entrepreneur,Job-seeker eligibility or startup approval,6-12 months,https://www.startupkorea.org/
Singapore,EntrePass,Entrepreneur,Innovative or venture-backed company,1-2 years,https://www.mom.gov.sg/passes-and-permits/entrepass
Canada,Global Talent Stream,Professional,Employer nomination for tech talent,Up to 2 years,https://www.canada.ca/en/employment-social-development/services/foreign-workers/global-talent.html
Australia,Global Talent / Innovation Pathways,Professional,High-level talent with international recognition,1-4 years,https://immi.homeaffairs.gov.au/visas/working-in-australia/skill-and-talent-visa
Poland,Business Harbour / Startup,Entrepreneur,Startup or IT/innovation company,1-2 years,https://www.gov.pl/web/diplomacy/business-harbour
Sweden,Residence Permit for Research,Academic,Approved research principal or hosting institution,1-4 years,https://www.migrationsverket.se/English/Private-individuals/Studying-working-or-volunteering/Researching.html
Switzerland,National (D) Visa + Cantonal Research Permit,Academic,Hosting institution or research agreement,1-3 years,https://www.ch.ch/en/working-switzerland/non-eu-efta-citizens/
New Zealand,Entrepreneur Work Visa,Entrepreneur,Investment, business plan, or feasibility,1-3 years,https://www.immigration.govt.nz/new-zealand-visas/apply-for-a-visa/about-visa/entrepreneur-work-visa
